,,,,,,,
,Date,2020-08-29,,,,,
,File,E2-A High-Speed Flash,,,,,
,Rev,1,,,,,
,,,,,,,
,,,,,,,
Notes,,,,,,,
,,"Digikey is my preferred vendor (Good prices, cheapest shipping, ships from Winnipeg) but Mouser and others are good as well.  Same with eBay/Alibaba/Bangood.",,,,,
,,"Most components from eBay could be purchased from Digikey, just an increase in cost (but faster shipping!)",,,,,
,,DO NOT purchase LED’s from eBay/Alibaba.  Testing has shown that LED’s from untrustworthy vendors are a lower quality.,,,,,
,,The EMCB1 and ECC0 board components will come pre-installed on the boards if purchased from td0g.,,,,,
,,,,,,,
Part#,Ref,Manufacturer Model,Description,Qty,Suggested Vendor,Vendor Part #,Link
,,,,,,,
53,"EMCB1_R6, EMCB1_R13, EMCB1_R2",47K 1/8W Res 0805,,3,,,
54,"EMCB1_R8, EMCB1_R9",1.5K 1/8W Res 0805,,2,,,
55,EMCB1_R11,2.7K 1/8W Res 0805,,1,,,
56,EMCB1_R12,39R 1/8W Res 0805,,1,,,
57,EMCB1_R14,100K 1/8W Res THT,,1,,,
58,EMCB1_R15,1R5 1/4W Res 1210,,1,,,
59,EMCB1_R17,470K 0805,Resistor,1,,,
60,"EMCB1_C13, EMCB1_C14",22pF 10V 0805,Add to diagram,2,,,
61,EMCB1_Y1,TXC CORPORATION / 9B-16.000MAAE-B,16MHz Crystal,1,Digikey,887-2014-ND,
62,ECC0,ECC0 PCB,PCB – Flyback converter,1,td0g,,
63,ECC0_T1,DA2032-ALD ,Flyback Transformer,1,Mouser,994-DA2032-ALD ,https://www.mouser.ca/ProductDetail/Coilcraft/DA2032-ALD?qs=ZYnrCdKdyefv4mcPD%252BT0WQ==
64,ECC0_U1,MIC3172YM,Flyback Controller,1,Mouser,998-MIC3172YM,https://www.mouser.ca/ProductDetail/Microchip-Technology-Micrel/MIC3172YM?qs=kh6iOki%2FeLFtS7jfbx4jMQ%3D%3D
65,ECC0_D2,1N4148,Schottky Diode,2,Mouser, 512-1N4148 ,https://www.mouser.ca/ProductDetail/ON-Semiconductor-Fairchild/1N4148?qs=i4Fj9T%2FoRm8RMUhj5DeFQg%3D%3D
66,ECC0_R2,10K Resistor 0805,Resistor,1,,,
67,ECC0_C5,1uF 250V Ceramic Capacitor 0805,Output Cap,1,,,
68,ECC0_R5,470K 0805,Resistor,1,,,
69,ECC0_R4,2.7K 0805,Resistor,1,,,
70,ECC0_RV1,10K Pot,Voltage Adjust Pot,1,,,
71,ECC0_C4,1uF 16V Ceramic Capacitor 0805,Capacitor,1,,,
72,ECC0_C1,10uF 16V Ceramic Capacitor 0805,Capacitor,2,,,
73,ECC0_R1,1K 1/8W Resistor 0805,,1,,,
74,ECC0_R3,470K 1/8W Resistor THT,,1,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,Conversion Rate,,
